"All_Sub_EMOTION_DC_GSR.mat.gz","All_Sub_EMOTION_DC.mat.gz","All_Sub_GAMBLING_DC_GSR.mat.gz","All_Sub_GAMBLING_DC.mat.gz","All_Sub_LANGUAGE_DC_GSR.mat.gz","All_Sub_LANGUAGE_DC.mat.gz","All_Sub_MOTOR_DC_GSR.mat.gz","All_Sub_MOTOR_DC.mat.gz","All_Sub_RELATIONAL_DC_GSR.mat.gz","All_Sub_RELATIONAL_DC.mat.gz","All_Sub_REST1_DC_GSR.mat.gz","All_Sub_REST1_DC.mat.gz","All_Sub_REST2_DC_GSR.mat.gz","All_Sub_REST2_DC.mat.gz","All_Sub_SOCIAL_DC_GSR.mat.gz","All_Sub_SOCIAL_DC.mat.gz","All_Sub_WM_DC_GSR.mat.gz","All_Sub_WM_DC.mat.gz"
"All_Sub_EMOTION_DC_GSR.mat.gz",1,1,0.9023669,0.9053254,0.9349112,0.9289941,0.8491124,0.9112426,0.9615385,0.9733728,0.8372781,0.8905325,0.9349112,0.9674556,0.9792899,0.9704142,0.8846154,0.8964497
"All_Sub_EMOTION_DC.mat.gz",1,1,0.8609467,0.8846154,0.8343195,0.9230769,0.5798817,0.7218935,0.9349112,0.9674556,0.7011834,0.7071006,0.7366864,0.8727811,0.9230769,0.9526627,0.7988166,0.8579882
"All_Sub_GAMBLING_DC_GSR.mat.gz",0.9585799,0.9289941,1,1,0.7781065,0.8195266,0.9704142,0.9822485,0.8934911,0.8994083,0.9319527,0.9230769,0.7455621,0.8402367,0.8757396,0.887574,0.9881657,0.9822485
"All_Sub_GAMBLING_DC.mat.gz",0.8431953,0.9526627,1,1,0.6035503,0.7544379,0.8609467,0.943787,0.8668639,0.8698225,0.8284024,0.8343195,0.5739645,0.683432,0.7633136,0.8343195,0.9792899,0.9881657
"All_Sub_LANGUAGE_DC_GSR.mat.gz",0.9852071,0.9674556,0.9201183,0.852071,1,1,0.6331361,0.5769231,0.9349112,0.8757396,0.7366864,0.760355,0.8964497,0.9260355,0.9467456,0.9201183,0.7692308,0.6508876
"All_Sub_LANGUAGE_DC.mat.gz",0.9112426,0.9852071,0.795858,0.9201183,1,1,0.612426,0.5769231,0.9142012,0.9319527,0.6952663,0.5976331,0.8047337,0.8727811,0.887574,0.9260355,0.7869822,0.7988166
"All_Sub_MOTOR_DC_GSR.mat.gz",0.8846154,0.9112426,0.9763314,0.9733728,0.8757396,0.8313609,1,1,0.7278107,0.5680473,0.8934911,0.7899408,0.6893491,0.6390533,0.7071006,0.6183432,0.9526627,0.8313609
"All_Sub_MOTOR_DC.mat.gz",0.7455621,0.8698225,0.9171598,0.9763314,0.7573964,0.8727811,1,1,0.8254438,0.6390533,0.8934911,0.8372781,0.6686391,0.6597633,0.7840237,0.6420118,0.9704142,0.9319527
"All_Sub_RELATIONAL_DC_GSR.mat.gz",0.9792899,0.9822485,0.9615385,0.9142012,0.9792899,0.943787,0.8786982,0.7366864,1,1,0.6715976,0.704142,0.7869822,0.8550296,0.943787,0.9408284,0.9142012,0.8994083
"All_Sub_RELATIONAL_DC.mat.gz",0.9319527,0.9911243,0.8698225,0.9467456,0.943787,0.9792899,0.8224852,0.8757396,1,1,0.6331361,0.5710059,0.7071006,0.816568,0.9230769,0.9497041,0.8964497,0.908284
"All_Sub_REST1_DC_GSR.mat.gz",0.9349112,0.9171598,0.9792899,0.9319527,0.9230769,0.8698225,0.9615385,0.8846154,0.8609467,0.7781065,1,1,0.9112426,0.9142012,0.7810651,0.7573964,0.9053254,0.7988166
"All_Sub_REST1_DC.mat.gz",0.739645,0.9053254,0.8076923,0.9556213,0.7633136,0.8816568,0.8668639,0.9526627,0.6863905,0.8461538,1,1,0.8786982,0.8846154,0.8076923,0.7337278,0.8994083,0.8224852
"All_Sub_REST2_DC_GSR.mat.gz",0.9674556,0.9585799,0.9289941,0.8224852,0.9881657,0.9467456,0.8905325,0.7514793,0.9378698,0.8786982,0.9704142,0.908284,1,1,0.9112426,0.8431953,0.6301775,0.5325444
"All_Sub_REST2_DC.mat.gz",0.8106509,0.9615385,0.6656805,0.9023669,0.8491124,0.9733728,0.7337278,0.8905325,0.7514793,0.9289941,0.9112426,0.9704142,1,1,0.9230769,0.9289941,0.7633136,0.6183432
"All_Sub_SOCIAL_DC_GSR.mat.gz",0.9852071,0.9792899,0.9467456,0.8698225,0.9822485,0.9526627,0.8816568,0.7189349,0.9792899,0.9408284,0.9378698,0.7573964,0.9822485,0.8698225,1,1,0.8343195,0.7455621
"All_Sub_SOCIAL_DC.mat.gz",0.908284,0.9852071,0.7869822,0.9467456,0.9319527,0.9822485,0.8254438,0.8846154,0.9319527,0.9763314,0.8313609,0.9378698,0.9201183,0.9852071,1,1,0.8284024,0.816568
"All_Sub_WM_DC_GSR.mat.gz",0.9467456,0.9112426,0.9881657,0.9881657,0.9349112,0.8047337,0.9674556,0.9023669,0.964497,0.887574,0.9792899,0.8017751,0.8934911,0.6390533,0.9319527,0.7278107,1,1
"All_Sub_WM_DC.mat.gz",0.8195266,0.943787,0.9763314,0.9881657,0.852071,0.9408284,0.9497041,0.9674556,0.9171598,0.9674556,0.9171598,0.9526627,0.7988166,0.8816568,0.8224852,0.9467456,1,1
